NAME,VAL,VALPER
Andrew Luck (QB1),4.9,29
Aaron Rodgers (QB1),4.3,25
Russell Wilson (QB1),2.1,12
Drew Brees (QB1),1.5,9
Peyton Manning (QB1),1.4,8
Ben Roethlisberger (QB1),1.2,7
Cam Newton (QB1),0.5,3
Tony Romo (QB1),0.5,3
Matt Ryan (QB1),0.4,2
Ryan Tannehill (QB1),0.1,1
Adrian Peterson (RB1),5.2,10
LeVeon Bell (S),5.1,10
Jamaal Charles (RB1),5.1,10
Marshawn Lynch (RB1),4.9,9
Eddie Lacy (RB1),4.9,9
CJ Anderson (RB1),4.0,8
Matt Forte (RB1),3.5,7
DeMarco Murray (RB1),3.5,7
Jeremy Hill (RB1),3.1,6
LeSean McCoy (RB1),2.9,6
Justin Forsett (RB1),1.9,4
Frank Gore (RB1),1.7,3
Lamar Miller (RB1),1.5,3
Mark Ingram (RB1),1.4,3
Alfred Morris (RB1),1.3,3
Melvin Gordon (RB1),1.0,2
Carlos Hyde (RB1),0.8,1
Joseph Randle (RB1),0.4,1
Antonio Brown (WR1),5.6,9
Demaryius Thomas (WR1),5.4,8
Dez Bryant (WR1),5.2,8
Odell Beckham (WR1),5.1,8
Julio Jones (WR1),4.9,7
Calvin Johnson (WR1),4.6,7
Jordy Nelson (WR1),4.3,7
AJ Green (WR1),3.7,6
Randall Cobb (WR2),3.4,5
Alshon Jeffery (WR1),3.1,5
Mike Evans (WR1),3.0,5
TY Hilton (WR1),2.5,4
DeAndre Hopkins (WR1),2.1,3
Emmanuel Sanders (WR2),1.9,3
Jordan Matthews (WR1),1.7,3
Kelvin Benjamin (WR1),1.5,2
Brandin Cooks (WR1),1.5,2
Andre Johnson (WR2),0.9,1
DeSean Jackson (I),0.9,1
Keenan Allen (WR1),0.8,1
Golden Tate (WR2),0.8,1
Sammy Watkins (WR1),0.6,1
Amari Cooper (WR1),0.5,1
Brandon Marshall (WR1),0.4,1
Julian Edelman (WR1),0.3,1
Rob Gronkowski (TE1),4.4,39
Jimmy Graham (TE1),2.3,20
Greg Olsen (TE1),1.5,13
Travis Kelce (TE1),1.2,11
Martellus Bennett (TE1),0.8,7
Zach Ertz (TE1),0.4,4
Julius Thomas (TE1),0.4,4
Delanie Walker (TE1),0.1,1
Jason Witten (TE1),0.1,1
